query	clarifying_question	flag
are you looking for some medication	which country do you want to find mushrooms in	0
do you want to know how to avoid angular cheilitis	would you like to know the responsibilities of the maryland department of natural resources	0
are you interested in barbados	do you want to know how much the last supper painting is worth	0
which time period would you like results for the worlds biggest dog	are you experiencing a heart attack	0
are you looking for a definition of diversity	are you interested in seeing barack obamas family	0
are you interested in reading the scripts for nicolas cage movies	do you want to shop online for clothes	0
are you interested in how african american music influenced american culture	are you interested in weather strips for windows	0
what are you interested in knowng about the life expectancy of larger dogs	want to learn what other minerals are in foods that are high in magnesium	0
would you like to know if hes chinese of japanese	do you want a phone number	0
do you need the address of jax chemical company	do you want to know where in the world has the highest wind power potential	0
How can I adopt a dog	are you looking for a specific website	1
are you looking for the nearest junck yard	would you like to purchase one or rent it	0
do you need a phone number	are you referring to putter golf	0
Tell me about ron howard.	do you want to know how old ron howard is	1
do you want to know how much dark chocolate you swould have for a day	do you want information on how many people successfully quit smoking	0
are you interested in reading the scripts for nicolas cage movies	do you want to know the middle name for a specific president of the united states	0
Find information about the secret garden.	are you interested in gardening	1
would you like to find an app for wedding budgeting	would you like to know the weather at sangre de cristo mountains	0
do you like using computers	are you looking to purchase old or collector coins	0
are you interested in the signs one may show for mad cow disease	are you interested in the recycling process for lead acid batteries	0
which of the seven deadly sins do you want to know more about	would you like the history of the uss yorktown or information on visiting it	0
would you like to know what a weather strip is	would you like to know anything specific about rock music	0
I'm interested in poker tournaments	where would you like to find poker tournaments	1
Give me information about Alexian Brothers hospitals.	are you interested in what services alexian brothers hospital offers	1
What is Fickle Creek Farm	do you want to know the location of fickle creek farm	1
what type of information about raised gardens are you looking for	are you offering appraisal services	0
How to write a thank you letter after an interview?	what about an interview do you need help with	1
do you wish to hear about the rumoured curse of the bewitched cast	are you interested in a specific type of product	0
are you referring to the philosopher aristotole	what specific dnr are you referring to	0
I'm looking for information on dieting	are you interested in reading more about the health benefits of dieting	1
are you interested in dinosaur toys	would you like information on yelp	0
Tell me about history of orcas island	would a video on the islands historical background be helpful	1
I'm looking for information about South Africa	would you like to see some pictures of south africa	1
tell me about memory	looking for shops that sell the board game memory	1
How can I adopt a dog	would you like to see local spca or humane societies	1
I'm looking for keyboard reviews	do you want to know about piano keys	1
would you like to read news material and bulletins from the maryland department of natural resources	is there any specific race on your mind	0
Find information about flushing.	would you like to know about the plumbing mechanisms of flushing	1
tell me about Voyager	are you interested in where the voyager has been	1
Child support in Indiana?	do you pay child support in indiana	1
would you like to see a company with this name	is there a certain state that you are interested in seeing battles for	0
which foods are you concerned about whether you can or cannot eat on a ketogenic feet	are you looking for the world series of poker	0
I'd like to learn about moths	do you need to identify a moth	1
do you want to know when the first medical record was record	are you looking for discounted trombines	0
would you like to know how much mercedes is worth	how do you intend to use hp mini 2140	0
are you looking for any specific heatrelated illness in dogs	who is the maker of f5 tornado	0
do you want to know about specific african american musicians	what nba players are you interested in	0
would you like the instructions for electronic skeet shoot	would you like a list of stores that sell home theater systems	0
Is Kenmore heater good	are you looking for a specific model or part	1
Tell me about Starbucks.	would you like specific information about starbucks	1
Tell me about kansas city mo	would you like to directions to kansas city	1
are you interested in knowing the avergae salary of an employee of the tennessee highway patrol	are you looking for continental plate boundaries	0
would you like to read a book he wrote	are you interested in martha stewarts role in the company	0
want to know the nba alltime record holders	which tornados were the most devastating	0
are you trying to find the average number	do you want to know the latest weather updates for pocono mountains	0
Find me information about diabetes education	are you looking to take a class about diabetes	1
what are you interested in knowng about the life expectancy of larger dogs	do you need information about medical services	0
do you want reviews of french lick resort and casino	are you interested in when the civil war battles in south carolina took place	0
How to change the toilet in the house	are you looking for topics related to bathroom health	1
are you trying to login to the boards website	are you looking for an application on this topic	0
would you rather read some reviews about avp antivirus	are you interested in team or individual nba records	0
do you want to know about short term or long term capital gains tax rate	do you need the history of the mgb	0
would you like me to direct you to emergency services	do you want to learn about our president	0
What should I know about the civil war	are you looking for a specific movie	1
which of the capital gains tax rate are you interested in	are you looking for car navigators	0
are the records you seek for your hometown team	are you interested in knowning the 50 states in the world	0
are you trying to find out about the kcs mental health clinic	are you trying to find out about the kcs mental health clinic	0
do you want to go to arkansas	do you want to adopt dogs for free	0
are you interested in fred rogers	are you interested in a natural balding cure	0
are you interested in the nicolas cage movie for which cage won the best actor oscar	are you referring to the mcdonalds pink slime	0
which military generals fought in the battles your most interested in	are you looking for mitchell colleges tuition rates	0
would you like to know about potential cures for wilsons disease	are you referring to the 1957 novel or the 2011 musical	0
do you need requirements for food stamps in iowa	are asking what the symptoms are for angular cheilits	0
Where can I buy pressure washers?	do you wish to rent a pressure washer	1
are you interested in the racing schedule	are you interested in where the voyager has been	0
are you wondering what moths eat	would you like to learn about the popularity of ham radio	0
Give me information about Disneyland hotel.	would you like to read some reviews	1
are you referring to the philosopher aristotole	are you interested in dinosaur toys	0
Find information about the wall	are you interested in a specific part of a home	1
would you like to compare specific ps 2 games	are you interested in coloring books	0
How to cook pork tenderlion	are you interested in a pork recipe	1
do you want to know who the people were who started the civil rights movement	which foods are you concerned about whether you can or cannot eat on a ketogenic feet	0
Give me information about Disneyland hotel.	do you want the address	1
are you looking for biodegradable dog clean up bags	are you interested in gaming keyboards	0
Give me information about Disneyland hotel.	would you like to read some reviews	1
Find information on Porterville.	do you want to find a restaurant or store here	1
are you looking for any specific heatrelated illness in dogs	do you want information about von willebrand disease in dogs	0
where can i read about uss carl vilson	are you looking for locations that have the scooters	0
are you interested in the cost of living in india	would you like directions to the nearest iowa food stamp office	0
do you want to know about companies that provide indexed annuities	would you like to know where to get treatment	0
did you want to know the amount of tourism dutchess county gets	did you want to know the amount of tourism dutchess county gets	0
Tell me about cell phones.	what price range of cell phones are you interested in	1
What are the causes of lipoma tumors	are you looking for a clinic for lipoma treatment	1
do you want to know where the uss yorktown is currently located	are you looking for stores to buy ps 2 games from	0
are you looking for netflix	are you looking for information of where to buy a elliptical trainer	0
are you looking for furniture	are you looking for bedroom furniture	0
do you need a phone number	what brand of keyboards are you looking for	0
Tell me about Neil Young.	i can show you his songs lyrics would that be okay	1
are you interested in learning more about satellite phones or radio	do you want to know technical information about tv on computer	0
do you want to know why the food pyramid was created	would you like to learn about weather stripping	0
which tv and computer information would you like to know more about	do you want to renew a drivers license	0
are you interested to fill a survey for them	would you like to know where to book a holiday? what country would you like your holiday to be in	0
are you looking for contact info in relation to bart sf	are you interested in downloading the album the wall	0
do you want to know who is eligible for the tangible personal property tax	do you want the lyrics on paper or on video	0
How can I lower my heart rate?	have you talked to your doctor about heart rate	1
are you looking for information on the cast and crew for rain man	would you like to marinate your pork tenderloin	0
what do you need to know about wilsons disease	are you looking for a way to make this into a neck tie	0
which foods are you concerned about whether you can or cannot eat on a ketogenic feet	are you really reffering to mothra	0
do you want a biography	are you referring to the monster from the final fantasy series	0
Tell me about atypical squamous cells	would you like the definition of atypical squamous cells	1
how do you want your egg to be	do you want to download drivers for the hp mini 2140	0
What is martha stewart and imclone?	do you want to know if this is the company martha stewart went to jail for	1
are you interested in fred rogers	are you interested in the documentary made about mister rogers	0
Tell me about Pocono	when are you going to the pococnos	1
Is Kenmore heater good	would you like to know who carries this product	1
What is California Franchise Tax Board	do you need specific forms to fill out	1
are you trying to login to the boards website	would you like to see articles about wedding budgeting	0
Tell me about cell phones.	would you like an unlocked phone	1
which treatments are you looking for at mayo clinic jacksonville fl	what color flowers are you interested in	0
are you looking for ron howard biographies	do you have any medical conditions	0
would you like to know how butter and margarine affect the food you eat	do you mean the department of natural resources	0
Give me espn sports information.	do you want information about espn sports personalities	1
Tell me about Korean language.	do you wish to take a korean language test	1
what kind of information do you need about rock and gem shows	are you inquiring about the animals hooves	0
do you want to know how many square miles afghanistan is	are you interested in scooter laws	0
would you like to compare specific ps 2 games	are you looking for reviews of the university of phoenix	0
who invented music	would you like to know about inventions related to music	1
are you looking for doctors that treat sore throats	what would you like to know about rock and gem shows	0
I'm looking for flame designs	how big do you want the flames to be	1
do you need a phone number	do you want information on the person who invented music	0
Tell me about american military university.	are you talking about the navel academy	1
Tell me about kiwi	are you interested in images of the kiwi fruit	1
would you like to know reviews for the best electronic keyboard	would you like to visit roosevelt island	0
are you interested in an online site for diabetes	which part of the river are you more interested in	0
Find me information about diabetes education	diabetes education regarding children or adults	1
are you interested in the television series defender	do you have a fever	0
are you looking for places to buy fencebuilding materials	are you looking to buy a volvo	0
are you interested in fred rogers	do you need information about a specific employer	0
are you trying to learn the korean language	are you male or female	0
do you need the address of jax chemical company	what entity are you referring to with this acrocym	0
Find information about the secret garden.	can i provide you information about frances hodgson burnett	1
are you referring to the house elvis presley bought in 1956 or 1957	what specifically do you need to know about fidel castro	0
Tell me about of Ralph Owen Brester.	how old is ralph owen brewseter	1
are you looking for information on how its scored	do you want information about the roosevelt island tramway	0
Tell me information about Volvo.	would you like to buy semi truck	1
are you interested in knowing the avergae salary of an employee of the tennessee highway patrol	would you like to know about potential cures for wilsons disease	0
are you looking to find out what game platforms you can play the beatles rock bank game on	would you like to find about the ways of identifying the tree	0
would you like to see a price range for appraisals	what kind of train are you looking for	0
would you like to recycle lead acid batteries for money or for free	do you need product information	0
are you looking for contact info in relation to bart sf	do you mean educational advantages in career placement or college referrals	0
are you referring to malignant lipolysis	are you referring to fred rogers	0
do you want reviews of french lick resort and casino	are you interested in jobs at mayo clinic jacksonville fl	0
are you looking for specific products related to getting organized	do you need facts about the history of cuba	0
do you want to know who is eligible for the tangible personal property tax	are you interested in a puppy	0
Tell me more about Culpeper National Cemetry	would you like to see services for the culpeper national cemetary today	1
are you searching for possible health effects of this product	are you interested in the full name of the current president of the united states	0
Tell me about of Ralph Owen Brester.	would you like to know the political positions ralph owen brewster held	1
i can show you locations where you can buy organic products do you want me to do it	do you want to know what madam cj walker is famous for	0
are you interested in buying tickets to a raffle	are you interested in a list of homes for sale in cass county	0
are you wanting to renovate your home in order to have a theater system	are you trying to quit smoking	0
Tell me more about Rocky Mountain News	are you looking for information regarding the rocky mountain range	1
Tell me about Korean language.	are you looking for a dictionary	1
are you interested in images of the kiwi fruit	will this be for an adult or child	0
Give me information on OCD.	are you interested in ocd medications	1
what size motor does the ford edge with problems have	what level of schooling are you interested in gaining the advantages to social networking sites	0
is this the topic of a reseach paper that you may be writing	do you have a color preference of the flower	0
did you know that its 1965 film adaptation got 5 oscars i can give you more details if you want	are you wondering about nasas plans for future travel	0
what are your budget priorities for your wedding	would you like to buy semi truck	0
are you looking for furniture	are you wondering what causes sore throat	0
what is the salary range of a land surveyor	which part of cass county are you referring to	0
Tell me about Internet phone serices.	which internet phone service providers are you interested in	1
Find information on ontario california airport.	do you know how long your trip will be	1
what aspect of the last supper painting are you interested in	would like to know about any specific sports team	0
are you looking for information about the sports facilities at the school	are you looking for a specific web site about dinosaurs	0
will this be a tall fence or short fence	what would you like to know about the largest ever dog breeds	0
would you like a list of best hair dyes for type of hair	do you want information about espn sports programming in languages other than english	0
Tell me about the pacific northwest laboratory.	are you looking for lab jobs	1
would you like know who collects illinois state tax	are you looking for patches	0
I'm interested in poker tournaments	do you want to play in online poker tournaments	1
are you looking for furniture	what area of the country do you live in	0
would you like a list of news articles	would you like to know more about growing figs	0
tell me about rice?	what type of rice dish are you looking for	1
are you looking to purchase a home theater system	are you interested in knowng which cast members of bewitched are still alive	0
how big do you want your dog	would you like to buy stencils online	0
Find information on Porterville.	are you looking to move here	1
would you like to buy a personalized teddy bear or a teddy bear for a specific occasion	are you looking for current playing list	0
Find me map of USA	are you interested in learning more about the us map	1
do you want to know how much a system costs in terms of increased electronic bills	are you looking for homeopathic sore throat treatments	0
in what monh are you looking for hayrides	which afghanistan flag are you interested in learning about the current one or a past version	0
would you like to buy the book the art of war	do you want to know the cost	0
are you trying to login to the boards website	do you need contact information for starbucks	0
woud you like to know about last supper reproductions	do you want to know how much rain man made at the box office	0
do you want to know a list of top gmat prep classes	are you trying to find films that ron howard directed	0
I'm looking for information on web design and hosting.	what price range are you looking for	1
Tell me about Barbados.	what city in barbados are you interested in learning	1
What is a 403b?	would you like to see if your employer offers 403b resources	1
would you like to know about the brooks brothers clearance return policy	do you want to know if the food pyramid still in use	0
tell me about rice?	are you looking for recipes that include rice	1
Find information on Porterville.	are you interested in schools in poterville	1
are you looking for some fun facts	are you interested in different knot tying techniques	0
Find information on Hoboken	do you want to visit hoboken	1
How to prepare for the GMAT?	do you want to know the cost of a gmat prep class	1
are you interested in tornado safety	do you want to know the historical background of the kiwi people	0
Tell me more about dnr	do you mean the department of natural resources	1
Tell me about madam cj walker	would you like to see facts about madam cj walkers early life	1
How to change the toilet in the house	are you looking for topics related to bathroom health	1
Tell me about vines for shade.	do you want to knwo vest vines for shade	1
which battle would you like to learn about how the technique of flushing was used	are you interested in the price range for trombones	0
Find information about flushing.	would you like to see diagrams of how a toilet flushes	1
are you looking for any specific heatrelated illness in dogs	are you referring to lipomassage	0
where to go if I made a crime in Brazil	would you like a book that has lots of maps of brazil	1
are you looking for dreams interpretations regarding the bible	is information needed on best ways to care for the garden once planted	0
would you like know who collects illinois state tax	would you like to see the current pampered chef catalog	0
are you interested in the signs one may show for mad cow disease	do you want to know how to treat the injury	0
would you like to find an app for wedding budgeting	would you like to know more information about writing a thank you email	0
do you want movie reviews	what kind of burger do you want to know the calories of	0
where is basis of uss carl vilson	why type of hobby  arts and crafts or sports	0
do you want to know how much a system costs in terms of increased electronic bills	are you looking for defender lyrics	0
I need information on income tax return online	would you like to know more about hr block	1
are you looking for activities that involve plants	do you want a job in dutchess county	0
do you want information about fees for indexed annuities	would you like to know how you can watch the movie online	0
are you wondering about nasas plans for future travel	are you wondering about nasas plans for future travel	0
are you interested in digital pianos	do you want balding cure products	0
do you have questions about the wilson antenna warrenty	do you want to know facts about the creature worm	0
what is the salary range of a land surveyor	do you want to know how many different types of worms there are	0
I'm looking for information on Rick Warren.	are you referring to the author	1
are you looking for anything specific of a tv show	do you want annual savings totals if you install solar panels	0
are you looking for butter and margarine comparison	would you like to see specs on this equipment	0
would you like to know more about ocd	is there something you need to know about this condition	0
do you want to know the candidates for the 2008 results as well	is there any specific thing that evolves that you want to learn more about its evolution	0
are you looking to rent a scooter	do you want to know the cost of a gmat prep class	0
what information would you like in regards to an equal opportunity employer	are you interested in learning where to purchase solar water fountains	0
I am looking for sources of used car parts.	would you like to pick parts yourself from a salvage yard	1
Find me information on sat	do you want to know the date for this saturday	1
would you like to read news material and bulletins from the maryland department of natural resources	are you looking for information about upcoming rock and gem shows	0
Tell me about er television show.	do you want to know what channel er tv show is on	1
I'm interested in poker tournaments	do you want to know who won the last world series of poker	1
are you interested in digital pianos	are there any important related factors or complications you want to know about regarding carpal tunnel syndrome	0
are you looking for the history of butter and margarine	would you like to see google maps homepage	0
are you looking for a new phone with a specific carrier	do you want to know the size of culpeper national cemetery	0
what size motor does the ford edge with problems have	are you looking for directions to churchill downs	0
are you trying to look up the constitution	are you inquiring about the animals hooves	0
are you looking for information about the sports facilities at the school	are you interested in the music man	0
I'd like to learn about joints	are you looking to buy joints	1
I'm looking for information on web design and hosting.	what are your requirments	1
I’m interested in old coins	do you want to buy old coins	1
how to hire disc jockey	do you need to book a dj for an event	1
are you searching in relation to the event in bryant park	what theme of halloween are you looking for	0
tell me about tangible personal property tax	would you like to know the current rate	1
i looking for current positions	would you like to learn about the origin of the name of orcas island	0
Tell me about Neil Young.	are you looking for specific neil young songs	1
would you like to know reviews for the best electronic keyboard	are you more interested in anecdotal aspects of his life	0
would you like to know more about pocono raceway	are you looking for a specific energy related company	0
do you what to know about evolution	are you looking for specific information regarding fickle creek farm	0
Tell me more about Rocky Mountain News	who do you want to find news reported by	1
are you looking for a hospital in new york ny	would you also like to delete your history	0
would you like to see a company with this name	do you have any medical conditions	0
are you wondering about nasas plans for future travel	are you interested in a specific part of a home	0
would you like information on this years keyboards	are you at risk for having a heart attack	0
How to change the toilet in the house	do you need to repair your toilet	1
Tell me about Pocono	would you like to know more about pocono raceway	1
are you looking to find out what game platforms you can play the beatles rock bank game on	do you want a crossword puzzle about idaho	0
I’m interested in old coins	is there a coin dealer near you	1
tell me about rock and gem shows	are you curious about rock and gem shows	1
would you like to know where the observatories are located	can we show you reviews of the original classic book the secret garden	0
what are continental plates	are yoiu looking for information on plate tectonics	1
would you like to know how butter and margarine affect the food you eat	what brand of keyboards are you looking for	0
Tell me about Korean language.	are you looking for books on the korean language	1
Tell me about designer dog breeds.	do you want a designer dog	1
Looking for information about the Orange County Convention Center	do you want to know their hours of operation	1
do you want to find local tournaments near you	are you interested in digital pianos	0
do you want directions to old town scottsdale	are you looking for a diet to help manage fibromyalgia	0
are you looking for the information about split rock restore	where can i read about uss carl vilson	0
i can give you a list of all movies he starred is that what you want	are you looking for arkansas history	0
are you looking for biodegradable dog clean up bags	is there a specific product you are looking for from the store	0
are you looking to rent a scooter	would you like to see pictures of the uss carl vinson	0
what about an interview do you need help with	are you planning to live there or are you looking for an investment property	0
would you like the legal definition of diversity	would you like to hear the names of good occupational therapists	0
I'm looking for information on the president of the united states	do you want to know how a us president is elected	1
are you looking for a hotel near porterville	would you like to know if male menopause is a real ailment	0
Tell me about source of the nile	do you want to know where the nile is located	1
tell me about iron	are you looking for a list of foods that are a good source of iron	1
are you looking bellevue square mall	would you like to book a flight	0
How to prepare for the GMAT?	would you like to know what distinguishes gmat from gre	1
tell me about iron	do you know about why its important to have iron in your diet	1
Tell me more on Kansas city railroad	are you looking for korean community services	1
do you want to know about the signs based on any specific demographics	are you interested in who carl vinson was	0
are you moving to south africa	are you looking for information from a specific era in the history of orcas island	0
are you looking for east ridge high school in woodbury mn	are you interested in finding out the middle name of the most recent presidents	0
Tell me about ps 2 games?	which ps 2 game genres are you interested in	1
Tell me information about Volvo.	would you like to know what country volvo is located	1
are you looking for the medical billing code for this disorder	did you want to know the order of the seven deadly sins	0
would you like the definition of the word satellite	are you in the beginning or more advanced stages of getting organized	0
Find information on raised gardens.	are you looking for any specific photos	1
Tell me about the educational advantages of social networking sites.	are there any specific educational advantages you want to know more about while using social networking sites	1
are you looking for a specific observatory	do you want to know how male vs female avps in a company	0
are you looking for the history of butter and margarine	how many ingredients do you want to use for this soup	0
What to do in Arkansas	would you like to read about colleges in arkansas	1
do you want to file your income tax return through the internal revenue online	do you need help finding a vet that treats lymphoma in dogs	0
are the records you seek for your hometown team	are you interested in learning about treatments for von willebrand disease	0
I’m interested in civil right movement	which countrys civil rights movement are you interested in	1
How to cure angular cheilitis	are you interested in what can cause angular cheilitis	1
are you looking for the information about split rock restore	are you looking for some medication	0
are you looking to rent a scooter	what types of ps 2 games do you like to play	0
I'm looking for information on the president of the united states	what year do you want to know the president for	1
what year do you want to know the president for	do you want to know about the tennessee titans	0
I'm looking for information on hobby stores	why type of hobby arts and crafts or sports	1
do you plan to sign up for coverage online	are you looking for any bundles or deals	0
what about an interview do you need help with	what type of activity are you looking for	0
do you want to know about specific african american musicians	do you want to know if gps technology is restricted in some locations	0
Give me information on OCD.	are you looking for treatment for ocd	1
I'd like to learn about moths	are you interested in moth life cycle	1
tell me about tangible personal property tax	what is the tax rate for the state you are in	1
are you wondering about the history of pampered chef	do you want to know what the usda food pyramid is	0
are you interested in purchasing an afghanistan flag	would you like to know how it functions	0
are you interested in knowing the avergae salary of an employee of the tennessee highway patrol	are you speaking about the human body or a mechanical part	0
tell me about rice?	do you want to know how to cook with rice	1
Looking for information about the Orange County Convention Center	are you planning any events there	1
what gs pay scale are you looking for	are you looking for doctors that can help you quit smoking	0
would you like to read a book he wrote	would you like to know about the alien versus predator movie	0
Find sewing instructions for me	would you like to know some basic tips for sewing	1
do you want to buy old coins	do you want the lyrics and song on the same page	0
Tell me more about satilies	are you looking for a company which provides internet services	1
did you want something online that does calculations for you	do you need directions to ontario california airport	0
Find information on Hoboken	do you want to see points of interest in hoboken	1
TV on computer	are you looking for netflix	1
Tell me about ps 2 games?	which ps 2 game franchises are you interested in	1
map	are you looking for a world atlas	1
are you looking for chicken soup made from scratch by famouss chefs	what percentage of dark chocolate in one serving that you would like to know	0
are you a dj	are you interested in an avanced treatment below ground design	0
are you interested in images of the kiwi fruit	do you need information about bellevue nebraska	0
are you looking for some fun facts	do you think that you are experiencing a stroke at the moment	0
Tell me more about Euclid	do you need more information about greek history	1
are you looking to rent a scooter	are you trying to find brooks brothers clearance suits	0
tell me about Voyager	are you looking for a specific web page	1
tell me about iron	woud you like a list of items made from iron	1
are you looking for furniture	would you like to know about iron deficiencies	0
Information about east ridge high school.	in which state are you looking for east ridge high school	1
would you like to purchase tickets to view the painting in milan	do you want to know how to access a us capitol map	0
are you interested in which teddy bears are the most expensive in the world	are you looking for physicians in your area that specialize in carpal tunnel syndrome treatment	0
would you like to see the most effective methods of gmat prep	do you want help finding a medical doctor for diabetes education 	0
are you looking for information on the cherokee tribe	do you want to know how many square miles afghanistan is	0
Tell me about ron howard.	are you trying to find films that ron howard directed	1
are you looking for furniture	whats your price range	0
would you like to see the most effective methods of gmat prep	would you like to know more about ps2 console design	0
Find me information about PVC	are you interested in pvc pipe	1
which team or teams will you need this stats for	would you like to know the history of hoboken	0
where can i read about uss carl vilson	where are you looking to grow the ivy	0
are you looking for a specific observatory	do you want to know who the preesident of south africa is	0
do you want a tourist map	are you interested in playing ps 2 games on other consoles such as playstation 3 and playstation 4	0
I'm interested in poker tournaments	do you want to watch a tournament online	1
tell me about rice?	do you want to know the nutritional content of rice	1
Tell me more about satilies	do you want to know about natural or artificial satellites	1
Tell me more about HP mini 2140	do you want to download drivers for the hp mini 2140	1
are you looking for dreams interpretations regarding the bible	are you interested in new york hotel prices	0
Give me information on OCD.	are you interested in ocd in children	1
what year do you want to know the president for	are you looking to hire a land surveyor	0
would you like to know what a weather strip is	do you need to book a dj for an event	0
I'm looking for information on dieting	do you want to learn about the history of dieting	1
I'm looking for information on becoming a paralegal	are you looking for a specific web page	1
are you looking for a second hand music store near you	are you interested in raspberry pi projects	0
would you like to see a price range for appraisals	would you like to see a price range for appraisals	0
I'm looking for information on the beatles rock band	are you looking to find out about the albums of the beatles	1
are you looking for some medication	are you looking for the news paper the sun	0
are you considering purchasing an indexed annuity	do you want to know about the geographical history of the island	0
are you looking for a hotel near porterville	would you like information on camping in the sangre de cristo mountains	0
I'm looking for a wedding budget calculator	what are your budget priorities for your wedding	1
where can i read about uss carl vilson	what is the tax rate for the state you are in	0
Find information on Porterville.	are you looking for a contact number for the city government	1
Find information on raised gardens.	is information needed on best ways to care for the garden once planted	1
do you want to know about the cause of von willebrand disease	what revolutionary general would you like to know about	0
are you looking to find out what game platforms you can play the beatles rock bank game on	how do you know if your internet service is inexpensive	0
did you want something online that does calculations for you	are you interested in knowng what common drugs can treat schizophrenia	0
are you looking for any specific facilities	would you like information on a particular band member	0
Tell me about ps 2 games?	are you referring to playstation 2 games	1
would you like to know about the brooks brothers clearance return policy	would you like a list of websites that show workouts for elliptical trainers	0
do you want to know how you get education advantages from using social networking sites	would you like to know where pork tenderloin comes from in a pig	0
are you looking for companies in the wind power arena	what happens when common schizophrenia drugs are disconinued	0
are you looking for the nearest location to buy a pressure washer	are you interested in mental benefits of yoga	0
Information about east ridge high school.	are you interested in east ridge high school latest news	1
want to know the nba alltime record holders	when do you want to go to the current chart show	0
Find information on raised gardens.	is information needed on best ways to care for the garden once planted	1
I need information on income tax return online	are you looking for a specific web site	1
did you want something online that does calculations for you	want to learn what other minerals are in foods that are high in magnesium	0
Tell about an adobe indian house?	do you want to know what adobe indian houses are made out of	1
did you want to know how to treat mad cow disease	are you looking for a downloadable version	0
are you looking for the stock symbol avp	are you looking for pittsburgh steelers merch	0
would you like the legal definition of diversity	are you interested in hallmark visitors center	0
do you want to know how many square miles afghanistan is	what do you need to know about wilsons disease	0
do you plan to sign up for coverage online	would you like to know more about us geographic details	0
would you like to watch videos about how figs grow andor how to prepare them	what year do you want to begin contributing 403b	0
which dinosaurs are you interested in	would you like to take a survey on your cholesterol	0
What to do in Arkansas	do you want to go to arkansas	1
are you asking about the revolutionary war	are you interested in at what height you can get altitude sicknes	0
would you like to know if hes chinese of japanese	would you like videos about floods associated with hurricane irene	0
How to change the toilet in the house	what size is your toilet	1
Tell me about Bellevue.	would you like to see notable residents of bellevue washington	1
are you looking for home remedies	are you interested in purchasing traverse city whiskey	0
Give me information about Disneyland hotel.	are you wondering where disneyland hotels are located	1
which team or teams will you need this stats for	would you like to try some ketogenic feet recipes	0
I'm looking for flame designs	the history of flame design	1
tell me about uss yorktown charleston SC	do you need directions from your location to the uss yorktown	1
Find me information about the sales tax in Illinois.	which county do you live in	1
would you like know who collects illinois state tax	do you want to know how to tie a full windsor knot	0
are you looking for information on the life cycle of worms	which kind of yoga routine are you looking to learn the benefits of	0
what is the best long term care insurance	would you like to buy a book on the best types of best long term insurances and learn more about it	1
I'm looking for information on recycling lead acid batteries	would you like a map of nearby locations where you can recycle lead acid batteries	1
would you like to read news material and bulletins from the maryland department of natural resources	would you like to know its interpretation by the us supreme court	0
what are you interested in knowng about the life expectancy of larger dogs	are you looking for symptoms of dog heat	0
are you looking to find a djs website	would you like specific information about starbucks	0
do you want to know who the main actor is in er tv show	do you need to read the rules of a ketogenic feet	0
which continental plates are you interested in	would you like to know about the alien versus predator movie	0
do you like using computers	are you looking for different kinds of djs	0
Find me information about diabetes education	what are you trying to learn about diabetes	1
are you interested in the levels of dangers associated with asbsestos	are you interested in male menopause medication	0
I'm looking for information on VLDL levels	would you like to know how to get your vldl levels tested	1
do you wish to hear about the rumoured curse of the bewitched cast	are you interested in the salary of an occupational therapist	0
Child support in Indiana?	are you seeking support of a child in indiana	1
I want to learn about rock art.	do you want to know how to perform rock art	1
are you looking for some fun facts	are you looking for signs to identify if carpenterter bees are present	0
are you looking for golf ball sized gps technologies	do you want to know how to plant a vine for shade	0
would you like to know more about pocono raceway	are you looking for the featured music on the er tv show	0
Find me map of USA	are you interested in learning more about the us map	1
Tell me more about indiana state fairgrounds.	would you like to buy tickets for a specific event there	1
Find me information about the Ritz Carlton Lake Las Vegas.	are you wanting a room at the ritz carlton in las vegas	1
tell me about rock and gem shows	would you like to know about rock and gem shows in washington	1
Find information on Hoboken	do you want to know where hoboken is	1
Tell me about Obama family tree.	would you like to know who is currently alive from president obamas family tree	1
what ammendities are you looking for in your airport	do you want to know about the local government of traverse city	0
Tell me about kiwi	are you interested in the biology of the kiwi bird	1
Tell me about ron howard.	are you interested in ron howards life story and career highlights	1
I am looking for sources of used car parts.	do you want to recycle used car parts	1
are you looking to find out what game platforms you can play the beatles rock bank game on	are you looking for a specific battle	0
are you interested in learning more about satellite phones or radio	are you worried about memory loss	0
would you like to know the home port of the uss carl vinson	are you trying to find a contractor	0
I'm interested in dinosaurs	do you want a list of dinosaur names	1
Which gps receiver I should buy	would you like information on how gps works	1
are you looking for furniture	are you looking for a specific recipe	0
are you trying to login to the boards website	do you want an app for the sentinel	0
is the ps 2 games for a child or an adult	do you want to know if dnr is legal where you live	0
do you want to know about companies that provide indexed annuities	are you referring to the the department of natural resources in maryland	0
what year do you want to know the president for	do you need directions to the nearest starbucks	0
are you looking for furniture	would you like to know about lipomas based on any specific demographics	0
what size motor does the ford edge with problems have	do you want to know when the next semester starts at mitchell college	0
do you want to find local tournaments near you	are you interested in the current fm channel	0
tell me about wilson antenna	do you need to get a part of a wilson antenna	1
How can I quick smoking	would you like to know about the benefits of quitting smoking	1
Find information on hip fractures	which age group is of more interest to you	1
are you looking for some medication	would you like to know more about its history	0
Find me information on sat	are you interested in a specific web page	1
what year do you want to know the president for	are you looking for fencebuilding materials	0
are you looking for chicken soup made from scratch by famouss chefs	would you like reasons not to invest in an indexed annuity	0
